
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
21-Dec-2014,22:11,22:27,"Canary Wharf [London Underground] to Waterloo [London Underground / National Rail]",.00,,2.00,""
21-Dec-2014,22:03,,"Bus journey, route D3",.00,,2.00,""
21-Dec-2014,14:56,,"Bus journey, route D7",.00,,2.00,""
21-Dec-2014,13:56,14:47,"Richmond to Canary Wharf [London Underground]",.00,,2.00,""
20-Dec-2014,22:50,23:29,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,2.00,""
20-Dec-2014,19:13,19:49,"Richmond to Tottenham Court Road",.00,,2.00,""
20-Dec-2014,13:53,14:29,"Warren Street to Richmond",.00,,2.00,""
20-Dec-2014,11:11,11:48,"Richmond to Goodge Street",.00,,2.00,""
19-Dec-2014,21:41,22:06,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,2.00,""
19-Dec-2014,16:30,16:49,"Canary Wharf [London Underground] to Green Park",.00,,2.00,""
19-Dec-2014,07:27,08:08,"Richmond to Canary Wharf [London Underground]",.00,,2.00,""
18-Dec-2014,18:13,19:06,"Canary Wharf [London Underground] to Richmond",.00,,2.00,""
18-Dec-2014,07:23,08:05,"Richmond to Canary Wharf [London Underground]",.00,,2.00,""
17-Dec-2014,17:39,18:23,"Canary Wharf [London Underground] to Richmond",.00,,2.00,""
17-Dec-2014,07:24,08:02,"Richmond to Canary Wharf [London Underground]",.00,,2.00,""
16-Dec-2014,17:42,18:23,"Canary Wharf [London Underground] to Richmond",.00,,2.00,""
16-Dec-2014,07:18,07:56,"Richmond to Canary Wharf [London Underground]",.00,,2.00,""
15-Dec-2014,17:53,18:40,"Canary Wharf [London Underground] to Richmond",.00,,2.00,""
15-Dec-2014,07:17,08:03,"Richmond to Canary Wharf [London Underground]",.00,,2.00,""
15-Dec-2014,07:17,,"Season ticket bought",.00,,2.00,""
